,Feature,Importance
1,TailNum,0.13260376532620533
7,DepTime,0.12180586510918923
9,ActualElapsedTime,0.11390614262817987
5,DayofMonth,0.10787474392819676
13,TaxiOut,0.09204299939461565
10,DepDelay,0.0881737902403532
8,FlightNum,0.08092382530335529
12,TaxiIn,0.07091486066283183
6,DayOfWeek,0.05640945052916642
11,Distance,0.03795844405720008
2,Origin,0.03657864756124668
3,Dest,0.03629125090658643
4,Month,0.015496452458494849
0,UniqueCarrier,0.009019761894378442
14,Cancelled,0.0
15,Diverted,0.0
