,Feature,Importance,Model
0,DepDelay,0.3508576133260877,Decision Tree
1,TaxiOut,0.11115547581525079,Decision Tree
2,ActualElapsedTime,0.0980014435652762,Decision Tree
3,Distance,0.09630216648207533,Decision Tree
4,DepTime,0.060527152465535715,Decision Tree
5,FlightNum,0.050816175527806894,Decision Tree
6,Origin,0.04666301604675331,Decision Tree
7,Dest,0.03999537613298292,Decision Tree
8,TaxiIn,0.03882954575853275,Decision Tree
9,Month,0.035537317348900796,Decision Tree
10,DayofMonth,0.02979673169733095,Decision Tree
11,UniqueCarrier,0.024621025309111446,Decision Tree
12,DayOfWeek,0.016896960524355194,Decision Tree
13,Cancelled,0.0,Decision Tree
14,Diverted,0.0,Decision Tree
15,DepDelay,0.5052719712257385,XGBoost
16,TaxiOut,0.1698916256427765,XGBoost
17,TaxiIn,0.10578742623329163,XGBoost
18,Distance,0.04148317500948906,XGBoost
19,ActualElapsedTime,0.037013791501522064,XGBoost
20,UniqueCarrier,0.03625711053609848,XGBoost
21,Origin,0.030253486707806587,XGBoost
22,DayOfWeek,0.017858784645795822,XGBoost
23,Dest,0.017578326165676117,XGBoost
24,FlightNum,0.016749395057559013,XGBoost
25,DepTime,0.012743977829813957,XGBoost
26,Month,0.0077713895589113235,XGBoost
27,DayofMonth,0.001339451759122312,XGBoost
28,Cancelled,0.0,XGBoost
29,Diverted,0.0,XGBoost
