,Feature,Importance,Model
0,DepDelay,0.8227431984994752,Decision Tree
1,TaxiOut,0.06455278194273373,Decision Tree
2,ActualElapsedTime,0.02859717094302897,Decision Tree
3,Distance,0.02281021205626784,Decision Tree
4,TaxiIn,0.012425451083396688,Decision Tree
5,Origin,0.010333973009397847,Decision Tree
6,DepTime,0.008156539704997674,Decision Tree
7,FlightNum,0.008099851619278542,Decision Tree
8,Dest,0.007235089055001878,Decision Tree
9,Month,0.005179201481582616,Decision Tree
10,UniqueCarrier,0.004374373471572378,Decision Tree
11,DayofMonth,0.003506874185485642,Decision Tree
12,DayOfWeek,0.0019852829477811263,Decision Tree
13,Cancelled,0.0,Decision Tree
14,Diverted,0.0,Decision Tree
15,DepDelay,0.8095619082450867,XGBoost
16,TaxiOut,0.07365545630455017,XGBoost
17,DepTime,0.026432976126670837,XGBoost
18,TaxiIn,0.021107425913214684,XGBoost
19,ActualElapsedTime,0.012906228192150593,XGBoost
20,Distance,0.012436647899448872,XGBoost
21,UniqueCarrier,0.010386591777205467,XGBoost
22,Origin,0.009109973907470703,XGBoost
23,FlightNum,0.006226142402738333,XGBoost
24,Dest,0.005505749955773354,XGBoost
25,DayOfWeek,0.005182987544685602,XGBoost
26,DayofMonth,0.004706135019659996,XGBoost
27,Month,0.0027818037196993828,XGBoost
28,Cancelled,0.0,XGBoost
29,Diverted,0.0,XGBoost
