Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,Diverted
1991,4,27,6,814.0,805,1528.0,1542,DL,104,254.0,277,-14.0,9.0,LAX,TPA,2158.0,0,0
1991,6,30,7,1530.0,1527,1655.0,1655,DL,947,85.0,88,0.0,3.0,ATL,TPA,406.0,0,0
1991,6,16,7,1314.0,1315,1906.0,1906,TW,180,232.0,231,0.0,-1.0,SFO,STL,1736.0,0,0
1991,11,1,5,813.0,815,1520.0,1515,CO,16,307.0,300,5.0,-2.0,HNL,SFO,2398.0,0,0
1991,6,6,4,1315.0,1315,1817.0,1810,CO,172,182.0,175,7.0,0.0,SAN,IAH,1303.0,0,0
1991,10,15,2,1344.0,1345,1415.0,1421,UA,382,31.0,36,-6.0,-1.0,COS,DEN,72.0,0,0
1991,6,28,5,1338.0,1315,2102.0,2055,NW,344,264.0,280,7.0,23.0,SFO,DTW,2079.0,0,0
1991,5,31,5,1316.0,1200,1454.0,1340,NW,305,158.0,160,74.0,76.0,DCA,MSP,931.0,0,0
1991,5,2,4,1859.0,1840,2142.0,2038,AA,1341,223.0,178,64.0,19.0,DFW,SLC,988.0,0,0
1991,4,5,5,1747.0,1740,1840.0,1842,US,1219,53.0,62,-2.0,7.0,CLT,ATL,227.0,0,0
1991,10,1,2,659.0,700,747.0,753,US,1268,48.0,53,-6.0,-1.0,MCO,MIA,193.0,0,0
1991,3,10,7,1809.0,1735,1942.0,1918,NW,1169,93.0,103,24.0,34.0,BOS,DCA,399.0,0,0
1991,10,16,3,2247.0,2237,2336.0,2321,UA,403,49.0,44,15.0,10.0,BIL,GTF,177.0,0,0
1991,5,25,6,828.0,830,1106.0,1113,UA,125,338.0,343,-7.0,-2.0,PHL,SFO,2521.0,0,0
1991,7,26,5,1143.0,1144,1303.0,1313,AA,1124,80.0,89,-10.0,-1.0,ORD,BNA,409.0,0,0
1991,4,22,1,1405.0,1400,1601.0,1605,ML (1),172,116.0,125,-4.0,5.0,DFW,MDW,797.0,0,0
1991,2,24,7,729.0,730,951.0,927,UA,1484,142.0,117,24.0,-1.0,SFO,SEA,679.0,0,0
1991,9,2,1,1010.0,1010,1110.0,1106,US,396,120.0,116,4.0,0.0,CLT,MSY,651.0,0,0
1991,10,18,5,1840.0,1840,2033.0,2045,WN,1595,113.0,125,-12.0,0.0,PHX,OAK,646.0,0,0
1991,12,2,1,1020.0,1020,1128.0,1125,US,208,68.0,65,3.0,0.0,BUF,LGA,292.0,0,0
